iter	Passed	Remaining
0	135	135740
1	136	68333
2	138	45902
3	139	34617
4	140	27883
5	141	23384
6	141	20134
7	142	17729
8	144	15858
9	144	14352
10	146	13130
11	147	12113
12	148	11250
13	149	10506
14	150	9870
15	151	9296
16	152	8792
17	153	8357
18	154	7963
19	155	7605
20	156	7282
21	157	6989
22	158	6716
23	159	6466
24	159	6237
25	160	6027
26	161	5832
27	162	5650
28	163	5483
29	164	5325
30	165	5178
31	166	5036
32	167	4911
33	168	4788
34	169	4672
35	170	4560
36	171	4457
37	172	4359
38	173	4265
39	174	4178
40	175	4094
41	176	4027
42	177	3954
43	178	3883
44	179	3812
45	180	3748
46	181	3685
47	182	3627
48	183	3567
49	184	3512
50	185	3458
51	186	3405
52	187	3354
53	188	3308
54	189	3259
55	190	3211
56	191	3165
57	192	3122
58	193	3080
59	194	3039
60	194	2999
61	195	2964
62	196	2928
63	197	2891
64	198	2858
65	199	2826
66	200	2794
67	201	2758
68	202	2729
69	203	2702
70	204	2674
71	205	2646
72	206	2623
73	207	2598
74	208	2572
75	209	2546
76	210	2521
77	211	2497
78	212	2474
79	213	2454
80	214	2431
81	215	2409
82	216	2389
83	217	2371
84	218	2351
85	219	2331
86	219	2308
87	220	2289
88	221	2269
89	222	2250
90	223	2231
91	224	2214
92	225	2199
93	226	2182
94	227	2164
95	228	2147
96	229	2132
97	229	2116
98	231	2102
99	232	2088
100	233	2074
101	233	2056
102	234	2042
103	235	2027
104	236	2013
105	237	2000
106	238	1986
107	238	1973
108	239	1960
109	240	1948
110	241	1935
111	242	1923
112	243	1912
113	244	1900
114	245	1888
115	246	1875
116	247	1865
117	248	1854
118	248	1841
119	249	1830
120	250	1819
121	251	1809
122	251	1795
123	252	1785
124	253	1776
125	254	1766
126	255	1757
127	256	1746
128	257	1737
129	258	1728
130	259	1719
131	260	1709
132	261	1701
133	261	1693
134	262	1684
135	263	1676
136	264	1667
137	265	1657
138	266	1649
139	267	1640
140	268	1632
141	268	1624
142	269	1616
143	270	1609
144	271	1601
145	272	1593
146	273	1585
147	274	1578
148	275	1570
149	275	1563
150	276	1555
151	277	1548
152	278	1541
153	279	1534
154	280	1526
155	280	1519
156	281	1513
157	282	1506
158	283	1500
159	284	1494
160	285	1489
161	286	1484
162	288	1479
163	289	1473
164	290	1468
165	291	1462
166	292	1458
167	293	1452
168	294	1447
169	295	1442
170	296	1436
171	297	1430
172	297	1424
173	298	1418
174	299	1413
175	300	1408
176	301	1402
177	302	1396
178	303	1390
179	304	1385
180	304	1377
181	305	1372
182	306	1367
183	307	1362
184	308	1357
185	308	1351
186	309	1346
187	310	1341
188	311	1336
189	312	1331
190	313	1326
191	314	1322
192	314	1317
193	315	1312
194	316	1307
195	317	1302
196	318	1297
197	319	1293
198	320	1288
199	321	1284
200	322	1280
201	322	1275
202	323	1271
203	324	1267
204	325	1263
205	326	1258
206	327	1254
207	328	1250
208	329	1246
209	330	1242
210	331	1237
211	331	1233
212	332	1229
213	333	1225
214	334	1221
215	335	1217
216	336	1213
217	337	1209
218	337	1205
219	338	1201
220	339	1196
